Round,Number 1,Number 2,Number 3,Number 4,Number 5,Number 6,Bonus Number,Number of 1st Prize Winner,1st Prize Amount,Number of 2nd Prize Winner,2nd Prize Amount,Number of 3rd Prize Winner,3rd Prize Amount,Draw Date
302,13,19,20,32,38,42,4,2,5472167250,44,41455813,1134,1608515,20190302
303,2,14,17,30,38,45,43,6,1672749000,29,57681000,1158,1444516,20190223
304,4,10,16,26,33,41,38,6,1661646150,37,44909356,1426,1165250,20190216
305,7,8,18,21,23,39,9,5,2008210140,34,49220837,1377,1215330,20190209
306,4,18,23,30,34,41,19,5,2102669520,23,76183679,1219,1437428,20190202
307,5,15,21,23,25,45,12,4,2587643250,28,61610554,1177,1465672,20190126
308,14,15,17,19,37,45,40,1,10232872800,27,63165882,978,1743844,20190119
309,1,2,5,11,18,36,22,11,901622946,25,66119016,1390,1189191,20190112
310,1,5,19,28,34,41,16,8,1296713325,29,59619004,1086,1592036,20190105
311,4,12,24,27,28,32,10,8,1237691063,43,38378018,1363,1210752,20181229
312,2,3,5,6,12,20,25,15,629017820,58,27112838,2064,761892,20181222
313,9,17,34,35,43,45,2,6,1715422800,26,65977800,1120,1531628,20181215
314,15,17,19,34,38,41,2,6,1660512200,24,69188009,1067,1556244,20181208
315,1,13,33,35,43,45,23,8,1308728625,32,54530360,1063,1641554,20181201
316,10,11,21,27,31,39,43,6,1673586400,29,57709876,1398,1197130,20181124
317,3,10,11,22,36,39,8,4,2576258550,25,68700228,1132,1517232,20181117
318,2,17,19,20,34,45,21,9,1207436600,28,64684104,1381,1311481,20181110
319,5,8,22,28,33,42,37,5,2135659380,26,68450622,1151,1546235,20181103
320,16,19,23,25,41,45,3,2,5513067900,25,73507572,1081,1699991,20181027
321,12,18,20,21,25,34,42,6,1959136100,35,55975318,1276,1535374,20181020
322,9,18,29,32,38,43,20,6,1904544700,29,65673956,1465,1300031,20181013
323,10,14,15,32,36,42,3,8,1461025388,27,72149402,1175,1657902,20181006
324,2,4,21,25,33,36,17,6,1865130350,40,46628259,1228,1518836,20180929
325,7,17,20,32,44,45,33,6,1806122450,33,54730984,1258,1435710,20180922
326,16,23,25,33,36,39,40,6,1832134550,31,59101115,1335,1372386,20180915
327,6,12,13,17,32,44,24,12,882674750,39,45265372,1242,1421377,20180908
328,1,6,9,16,17,28,24,6,1819795900,30,60659864,1380,1318693,20180901
329,9,17,19,30,35,42,4,6,1830391200,33,55466400,1215,1506495,20180825
330,3,4,16,17,19,20,23,9,1162280200,32,54481885,1431,1218324,20180818
331,4,9,14,26,31,44,39,5,2165902620,45,40109308,1365,1322285,20180811
332,16,17,34,36,42,45,3,8,1359448388,37,48989132,1098,1650818,20180804
333,5,14,27,30,39,43,35,7,1550987143,36,50263473,1365,1325631,20180728
334,13,15,21,29,39,43,33,7,1523002972,31,57317317,1055,1684206,20180721
335,5,9,16,23,26,45,21,5,2037492480,28,60639658,1222,1389453,20180714
336,3,5,20,34,35,44,16,6,1685632650,30,56187755,989,1704381,20180707
